"","PID","DateSold","SalePrice","logSalePrice","Rate","LotArea","GrLivArea","Neighborhood","Neighborhood_Int","MSZoning_Int","CentralAir","Age","RemodSinceBuilt","StreetAlley","LotShape","LandContour","LandSlope","LotConfig","IsOnMainroad","IsNearRailroad","IsNearPark","MSSubClass","MSZoning","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition"
"11",916326010,2006-01-01,228000,5.35793484700045,4.4106,16669,1707,"Timber","22","6","1",25,0,"1","1","1","0","2","0","0","0",20,"RL","1Fam","1Story",8,6,"Hip","WdShake","Plywood","Plywood","BrkFace",653,"Gd","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,1686,1686,"GasA","TA","SBrkr",1707,0,0,0,0,2,1,2,1,"TA",6,"Typ",1,"TA","Attchd",1981,"RFn",2,511,"TA","TA","Y",574,64,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"12",527108030,2006-01-01,250000,5.39794000867204,4.4106,13128,2064,"Gilbert","14","6","1",1,0,"1","1","3","0","4","0","0","0",60,"RL","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",216,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1074,1074,"GasA","Ex","SBrkr",1074,990,0,0,0,2,1,4,1,"Gd",7,"Typ",1,"Gd","Attchd",2005,"Fin",2,527,"TA","TA","Y",0,119,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"13",532476050,2006-01-01,260000,5.41497334797082,4.4106,14330,2646,"Veenker","23","6","1",32,0,"1","1","0","0","2","0","0","0",80,"RL","1Fam","SLvl",7,4,"Gable","CompShg","WdShing","Wd Sdng","BrkFace",145,"Gd","Fa","CBlock","Gd","TA","Gd","ALQ",1023,"BLQ",497,228,1748,"GasA","Gd","SBrkr",2151,495,0,1,2,2,0,3,1,"Gd",9,"Mod",4,"TA","Attchd",1974,"RFn",2,550,"TA","TA","Y",641,100,0,0,0,800,"Gd","GdPrv","NoMisc",0,"WD ","Normal"
"14",906392100,2006-01-01,260000,5.41497334797082,4.4106,11645,1734,"CollgCr","18","6","1",1,0,"1","0","1","0","1","0","0","0",20,"RL","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",1300,"Unf",0,434,1734,"GasA","Ex","SBrkr",1734,0,0,1,0,2,0,3,1,"Gd",7,"Typ",0,"NoFireplace","Attchd",2005,"Fin",2,660,"TA","TA","Y",160,24,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"15",528429120,2006-01-01,423000,5.62634036737504,4.4106,20896,2097,"Somerst","21","6","1",1,1,"1","2","1","0","4","0","1","0",20,"RL","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Mn","GLQ",1721,"Unf",0,356,2077,"GasA","Ex","SBrkr",2097,0,0,1,0,1,1,1,1,"Ex",8,"Typ",1,"Ex","Attchd",2005,"Fin",3,1134,"TA","TA","Y",192,267,0,0,0,0,"NoPool","NoFence","NoMisc",0,"New","Partial"
"16",909101330,2006-02-01,35000,4.54406804435028,4.56784210526316,8088,498,"Edwards","5","6","0",84,33,"2","0","1","0","1","1","0","0",30,"RL","1Fam","1Story",2,3,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,498,498,"GasA","TA","FuseF",498,0,0,0,0,1,0,1,1,"TA",3,"Typ",0,"NoFireplace","Detchd",1922,"Unf",1,216,"Fa","Fa","N",0,0,100,0,0,0,"NoPool","NoFence","NoMisc",0,"ConLD","Normal"
"17",535478090,2006-02-01,105000,5.02118929906994,4.56784210526316,7000,864,"NAmes","11","6","1",44,0,"1","0","1","0","1","1","0","0",20,"RL","1Fam","1Story",5,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",468,"Unf",0,396,864,"GasA","Gd","SBrkr",864,0,0,0,1,1,0,3,1,"TA",5,"Typ",0,"NoFireplace","Attchd",1962,"Unf",1,336,"TA","TA","Y",0,0,0,0,0,0,"NoPool","GdWo","NoMisc",0,"WD ","Normal"
"18",903233220,2006-02-01,110000,5.04139268515823,4.56784210526316,6120,1324,"BrkSide","3","5","1",76,54,"1","0","1","0","1","0","0","0",50,"RM","1Fam","1.5Fin",5,7,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,741,741,"GasA","Gd","SBrkr",741,583,0,0,0,1,0,3,1,"Gd",7,"Typ",0,"NoFireplace","Detchd",1930,"Unf",1,180,"Fa","TA","Y",0,0,55,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"19",535178100,2006-02-01,148000,5.17026171539496,4.56784210526316,10000,1370,"NAmes","11","6","1",50,0,"1","0","1","0","2","0","0","0",80,"RL","1Fam","SLvl",5,6,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",272,"TA","TA","CBlock","TA","TA","Av","BLQ",678,"Rec",281,99,1058,"GasA","Ex","SBrkr",1370,0,0,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Basment",1956,"RFn",1,300,"TA","TA","Y",191,0,0,0,120,0,"NoPool","MnPrv","NoMisc",0,"WD ","Normal"
"20",905101450,2006-02-01,154500,5.18892848376085,4.56784210526316,8414,1068,"Sawyer","8","6","1",43,40,"1","0","1","0","1","0","0","0",20,"RL","1Fam","1Story",6,8,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",663,"Unf",0,396,1059,"GasA","TA","SBrkr",1068,0,0,0,1,1,0,3,1,"TA",6,"Typ",0,"NoFireplace","Attchd",1963,"RFn",1,264,"TA","TA","Y",192,0,0,0,0,0,"NoPool","MnPrv","NoMisc",0,"WD ","Normal"
"21",527107020,2006-02-01,170000,5.23044892137827,4.56784210526316,13041,1671,"Gilbert","14","6","1",11,0,"1","2","1","0","1","0","0","0",60,"RL","1Fam","2Story",6,5,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,781,781,"GasA","Gd","SBrkr",781,890,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1995,"Fin",2,423,"TA","TA","Y",0,84,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"22",528218060,2006-02-01,170440,5.23157152552842,4.56784210526316,10237,1456,"Gilbert","14","6","1",1,1,"1","0","1","0","1","0","1","0",60,"RL","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,728,728,"GasA","Ex","SBrkr",728,728,0,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",2,390,"TA","TA","Y",0,24,0,0,0,0,"NoPool","NoFence","NoMisc",0,"New","Partial"
"23",528290140,2006-02-01,173000,5.2380461031288,4.56784210526316,10852,1671,"Gilbert","14","6","1",6,0,"1","1","1","0","1","0","1","0",60,"RL","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",786,"Unf",0,173,959,"GasA","Ex","SBrkr",959,712,0,1,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2000,"Fin",2,472,"TA","TA","Y",0,38,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"24",527356060,2006-02-01,179900,5.25503116334555,4.56784210526316,11475,1552,"NWAmes","15","6","1",31,0,"1","0","1","0","1","0","1","0",60,"RL","1Fam","2Story",6,6,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",550,"Unf",0,163,713,"GasA","TA","SBrkr",811,741,0,1,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1975,"RFn",2,434,"TA","TA","Y",209,208,0,0,0,0,"NoPool","MnPrv","NoMisc",0,"WD ","Normal"
"25",907194130,2006-02-01,192500,5.28443073384452,4.56784210526316,14006,1776,"CollgCr","18","6","1",4,0,"1","1","1","0","1","0","0","0",60,"RL","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",144,"Gd","TA","PConc","Gd","TA","NoBasement","Unf",0,"Unf",0,936,936,"GasA","Ex","SBrkr",936,840,0,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",2002,"RFn",2,474,"TA","TA","Y",144,96,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"26",909276070,2006-02-01,194000,5.28780172993023,4.56784210526316,12400,1717,"Crawfor","19","6","1",66,10,"1","0","3","1","1","0","0","0",50,"RL","1Fam","1.5Fin",5,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","Gd","TA","Mn","BLQ",602,"Unf",0,299,901,"GasA","TA","SBrkr",1125,592,0,0,0,1,1,2,1,"TA",7,"Typ",1,"Gd","Attchd",1940,"Unf",1,410,"TA","TA","Y",0,0,0,0,113,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"27",528480110,2006-02-01,200825,5.30281777563544,4.56784210526316,8125,1716,"Somerst","21","4","1",1,0,"1","0","1","0","1","0","0","0",60,"FV","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,858,858,"GasA","Ex","SBrkr",858,858,0,0,0,2,1,3,1,"Gd",7,"Typ",0,"NoFireplace","Attchd",2005,"RFn",2,615,"TA","TA","Y",0,53,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"28",909280070,2006-02-01,218000,5.33845649360461,4.56784210526316,8170,1671,"Crawfor","19","6","1",77,21,"1","1","1","0","1","0","0","0",50,"RL","1Fam","1.5Fin",7,7,"Gable","CompShg","Stucco","Wd Sdng","BrkFace",270,"Gd","Gd","BrkTil","TA","TA","No","ALQ",526,"Unf",0,496,1022,"GasA","Ex","FuseA",1122,549,0,0,0,2,0,4,1,"TA",7,"Typ",1,"Gd","Detchd",1963,"Unf",2,451,"TA","TA","Y",0,0,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"29",906420020,2006-02-01,220000,5.34242268082221,4.56784210526316,10041,1915,"SawyerW","13","6","1",14,0,"1","1","1","0","1","0","0","0",60,"RL","1Fam","2Story",8,5,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",789,"Unf",0,119,908,"GasA","Ex","SBrkr",927,988,0,1,0,2,1,3,1,"Gd",8,"Typ",1,"TA","Attchd",1992,"Fin",2,506,"TA","TA","Y",120,150,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Abnorml"
"30",527302080,2006-02-01,229000,5.35983548233989,4.56784210526316,13837,2183,"NWAmes","15","6","1",18,0,"1","1","1","0","2","0","0","0",50,"RL","1Fam","1.5Fin",7,5,"Gable","CompShg","HdBoard","HdBoard","BrkFace",178,"Gd","Gd","PConc","Gd","Gd","No","GLQ",1002,"LwQ",202,0,1204,"GasA","Gd","SBrkr",1377,806,0,0,0,2,1,4,1,"Gd",9,"Typ",0,"NoFireplace","Attchd",1988,"Unf",3,786,"TA","TA","Y",0,0,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"31",908178050,2006-02-01,229000,5.35983548233989,4.56784210526316,11060,2314,"Edwards","5","6","1",3,2,"1","1","1","0","2","0","0","0",60,"RL","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","Unf",0,"Unf",0,1150,1150,"GasA","Ex","SBrkr",1164,1150,0,0,0,2,1,3,1,"Gd",9,"Typ",1,"Ex","BuiltIn",2003,"Fin",2,502,"TA","TA","Y",0,274,0,0,0,0,"NoPool","NoFence","NoMisc",0,"ConLD","Normal"
"32",528294070,2006-02-01,230000,5.36172783601759,4.56784210526316,8738,2291,"Gilbert","14","6","1",7,0,"1","1","1","0","1","0","0","0",60,"RL","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",302,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,975,975,"GasA","Ex","SBrkr",1005,1286,0,0,0,2,1,4,1,"Gd",8,"Typ",1,"TA","BuiltIn",1999,"Fin",2,429,"TA","TA","Y",192,0,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"33",907265030,2006-02-01,230000,5.36172783601759,4.56784210526316,8125,1654,"CollgCr","18","6","1",4,0,"1","0","1","0","1","0","0","0",20,"RL","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","Stone",295,"Gd","TA","PConc","Gd","TA","No","GLQ",986,"Unf",0,668,1654,"GasA","Ex","SBrkr",1654,0,0,1,0,2,0,3,1,"Gd",6,"Typ",0,"NoFireplace","Attchd",2002,"Unf",3,900,"TA","TA","Y",0,136,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"34",528172150,2006-02-01,279000,5.4456042032736,4.56784210526316,13215,1914,"NridgHt","26","6","1",2,0,"1","1","1","0","2","0","0","0",60,"RL","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",112,"Gd","TA","PConc","Gd","TA","No","GLQ",994,"Unf",0,426,1420,"GasA","Ex","SBrkr",1426,488,0,1,0,2,1,3,1,"Gd",9,"Typ",1,"TA","BuiltIn",2004,"RFn",3,746,"TA","TA","Y",168,127,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"35",528315070,2006-02-01,286000,5.45636603312904,4.56784210526316,9660,1976,"NoRidge","27","6","1",8,0,"1","1","1","0","1","0","0","0",60,"RL","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",242,"Gd","TA","PConc","Gd","TA","No","GLQ",791,"Unf",0,253,1044,"GasA","Ex","SBrkr",1079,897,0,1,0,2,1,3,1,"Gd",7,"Typ",1,"Ex","Attchd",1998,"Fin",3,885,"TA","TA","Y",210,31,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"36",903430130,2006-03-01,52500,4.72015930340596,4.72230434782609,4118,693,"OldTown","4","5","0",65,9,"2","1","2","1","2","1","0","0",30,"RM","1Fam","1Story",4,4,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,693,693,"Grav","Fa","FuseA",693,0,0,0,0,1,0,2,1,"Fa",4,"Typ",0,"NoFireplace","NoGarage",1941,"NoGarage",0,0,"NoGarage","NoGarage","N",0,20,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"37",910203230,2006-03-01,85000,4.92941892571429,4.72230434782609,7030,641,"IDOTRR","2","5","1",81,25,"1","0","1","0","1","0","0","0",30,"RM","1Fam","1Story",4,6,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,641,641,"GasA","Gd","SBrkr",641,0,0,0,0,1,0,2,1,"Fa",4,"Typ",0,"NoFireplace","Detchd",1925,"Unf",1,272,"TA","TA","N",184,0,70,0,0,0,"NoPool","MnPrv","NoMisc",0,"WD ","Normal"
"38",535377100,2006-03-01,86900,4.93901977644867,4.72230434782609,7008,720,"OldTown","4","6","1",106,98,"1","0","1","0","2","0","0","0",50,"RL","1Fam","1.5Fin",4,8,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","BrkTil","Fa","Fa","No","Unf",0,"Unf",0,448,448,"GasA","Ex","SBrkr",448,272,0,0,0,1,0,1,1,"Fa",5,"Typ",0,"NoFireplace","Attchd",1900,"Unf",1,280,"Fa","TA","Y",0,0,70,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"39",902134060,2006-03-01,96900,4.98632377705077,4.72230434782609,7614,1376,"OldTown","4","5","1",101,45,"2","0","1","1","1","0","0","0",70,"RM","1Fam","2Story",3,5,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Fa","Mn","Unf",0,"Unf",0,738,738,"GasA","Gd","FuseA",714,662,0,0,0,1,0,2,1,"TA",7,"Typ",0,"NoFireplace","Detchd",1930,"Unf",1,216,"TA","TA","N",0,0,104,0,225,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"40",527404180,2006-03-01,97500,4.98900461569854,4.72230434782609,7200,874,"NAmes","11","6","1",35,0,"1","0","1","0","1","0","0","0",20,"RL","1Fam","1Story",4,4,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",20,"LwQ",620,224,864,"GasA","TA","SBrkr",874,0,0,0,1,1,0,3,1,"TA",5,"Typ",0,"NoFireplace","Detchd",1995,"Unf",2,576,"TA","TA","Y",63,0,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"41",908228040,2006-03-01,104900,5.02077548819356,4.72230434782609,9738,1221,"Edwards","5","6","1",82,26,"1","0","1","0","1","0","0","0",50,"RL","1Fam","1.5Fin",5,7,"Gable","CompShg","AsbShng","AsbShng","None",0,"TA","Gd","BrkTil","TA","TA","No","BLQ",392,"Unf",0,392,784,"GasA","Gd","SBrkr",949,272,0,1,0,1,0,4,1,"TA",7,"Typ",0,"NoFireplace","Attchd",1965,"Unf",1,392,"TA","TA","Y",0,0,236,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"42",909101190,2006-03-01,118500,5.07371835034612,4.72230434782609,6204,2230,"SWISU","6","6","0",94,38,"1","0","2","0","1","0","0","0",75,"RL","1Fam","2.5Fin",4,5,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","PConc","TA","Fa","No","Unf",0,"Unf",0,795,795,"GasA","TA","SBrkr",954,795,481,1,0,1,0,5,1,"TA",10,"Typ",0,"NoFireplace","Detchd",1997,"Unf",1,440,"TA","Gd","Y",0,188,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"43",907227090,2006-03-01,119900,5.07881918309885,4.72230434782609,7200,864,"CollgCr","18","6","1",34,0,"1","0","0","0","1","0","0","0",20,"RL","1Fam","1Story",5,8,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",437,"Unf",0,427,864,"GasA","Ex","SBrkr",864,0,0,0,0,1,0,3,1,"TA",5,"Typ",0,"NoFireplace","Detchd",1977,"Unf",1,297,"TA","TA","Y",0,0,0,0,0,0,"NoPool","MnPrv","NoMisc",0,"WD ","Normal"
"44",535478070,2006-03-01,120000,5.07918124604763,4.72230434782609,7400,1045,"NAmes","11","6","1",44,0,"1","0","1","0","2","1","0","0",20,"RL","1Fam","1Story",7,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",809,"Unf",0,236,1045,"GasA","Gd","SBrkr",1045,0,0,1,0,1,0,3,1,"TA",6,"Typ",0,"NoFireplace","Detchd",1962,"Unf",2,528,"TA","TA","Y",0,0,0,0,0,0,"NoPool","NoFence","NoMisc",0,"WD ","Normal"
"45",534479300,2006-03-01,121000,5.08278537031645,4.72230434782609,9888,936,"NAmes","11","6","1",52,21,"1","0","1","0","1","0","0","0",20,"RL","1Fam","1Story",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","BLQ",486,"Unf",0,450,936,"GasA","TA","FuseA",936,0,0,0,0,1,0,2,1,"TA",5,"Typ",0,"NoFireplace","Attchd",1954,"Unf",1,240,"TA","TA","Y",0,0,160,0,0,0,"NoPool","MnPrv","NoMisc",0,"WD ","Normal"
