"","PID","DateSold","SalePrice","logSalePrice","Rate","LotArea","GrLivArea","Neighborhood","Neighborhood_Int","MSZoning_Int","CentralAir","Age","RemodSinceBuilt","StreetAlley","LotShape","LandContour","LandSlope","LotConfig","IsOnMainroad","IsNearRailroad","IsNearPark","MSSubClass","MSZoning","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","IsPUD","NumFloors","Collapse_MSSubClass","Combine_BathroomsBsmt","Combine_BathroomsAbvGrd","AllBathrooms","Combine_Age","IsRenovated"
"11",916326010,2006-01-01,228000,5.35793484700045,4.4106,16669,1707,"Timber","22","6","1",25,0,"1","1","1","0","2","0","0","0","Dwelling_20","RL","1Fam","1Story",8,6,"Hip","WdShake","Plywood","Plywood","BrkFace",653,4,3,"CBlock",4,3,1,1,0,1,0,1686,1686,"GasA",3,"SBrkr",1707,0,0,0,0,2,1,2,1,3,6,8,1,3,"Attchd",1981,"RFn",2,511,3,3,3,574,64,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0,2.5,2.5,25,FALSE
"12",527108030,2006-01-01,250000,5.39794000867204,4.4106,13128,2064,"Gilbert","14","6","1",1,0,"1","1","3","0","4","0","0","0","Dwelling_60","RL","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",216,4,3,"PConc",4,3,1,1,0,1,0,1074,1074,"GasA",5,"SBrkr",1074,990,0,0,0,2,1,4,1,4,7,8,1,4,"Attchd",2005,"Fin",2,527,3,3,3,0,119,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",0,2.5,2.5,1,FALSE
"13",532476050,2006-01-01,260000,5.41497334797082,4.4106,14330,2646,"Veenker","23","6","1",32,0,"1","1","0","0","2","0","0","0","Dwelling_80","RL","1Fam","SLvl",7,4,"Gable","CompShg","WdShing","Wd Sdng","BrkFace",145,4,2,"CBlock",4,3,4,5,1023,4,497,228,1748,"GasA",4,"SBrkr",2151,495,0,1,2,2,0,3,1,4,9,5,4,3,"Attchd",1974,"RFn",2,550,3,3,3,641,100,0,0,0,800,3,"GdPrv","NoMisc",0,"WD ","Normal",FALSE,2,"Split",2,2,4,32,FALSE
"14",906392100,2006-01-01,260000,5.41497334797082,4.4106,11645,1734,"CollgCr","18","6","1",1,0,"1","0","1","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,3,6,1300,1,0,434,1734,"GasA",5,"SBrkr",1734,0,0,1,0,2,0,3,1,4,7,8,0,0,"Attchd",2005,"Fin",2,660,3,3,3,160,24,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",1,2,3,1,FALSE
"15",528429120,2006-01-01,423000,5.62634036737504,4.4106,20896,2097,"Somerst","21","6","1",1,1,"1","2","1","0","4","0","1","0","Dwelling_20","RL","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,3,2,6,1721,1,0,356,2077,"GasA",5,"SBrkr",2097,0,0,1,0,1,1,1,1,5,8,8,1,5,"Attchd",2005,"Fin",3,1134,3,3,3,192,267,0,0,0,0,0,"NoFence","NoMisc",0,"New","Partial",FALSE,1,"Traditional",1,1.5,2.5,0,TRUE
"16",909101330,2006-02-01,35000,4.54406804435028,4.56784210526316,8088,498,"Edwards","5","6","0",84,33,"2","0","1","0","1","1","0","0","Dwelling_30","RL","1Fam","1Story",2,3,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,498,498,"GasA",3,"FuseF",498,0,0,0,0,1,0,1,1,3,3,8,0,0,"Detchd",1922,"Unf",1,216,2,2,1,0,0,100,0,0,0,0,"NoFence","NoMisc",0,"ConLD","Normal",FALSE,1,"Traditional",0,1,1,51,TRUE
"17",535478090,2006-02-01,105000,5.02118929906994,4.56784210526316,7000,864,"NAmes","11","6","1",44,0,"1","0","1","0","1","1","0","0","Dwelling_20","RL","1Fam","1Story",5,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,1,4,468,1,0,396,864,"GasA",4,"SBrkr",864,0,0,0,1,1,0,3,1,3,5,8,0,0,"Attchd",1962,"Unf",1,336,3,3,3,0,0,0,0,0,0,0,"GdWo","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0.5,1,1.5,44,FALSE
"18",903233220,2006-02-01,110000,5.04139268515823,4.56784210526316,6120,1324,"BrkSide","3","5","1",76,54,"1","0","1","0","1","0","0","0","Dwelling_50","RM","1Fam","1.5Fin",5,7,"Gable","CompShg","MetalSd","MetalSd","None",0,3,4,"BrkTil",3,3,1,1,0,1,0,741,741,"GasA",4,"SBrkr",741,583,0,0,0,1,0,3,1,4,7,8,0,0,"Detchd",1930,"Unf",1,180,2,3,3,0,0,55,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1.5,"Traditional",0,1,1,22,TRUE
"19",535178100,2006-02-01,148000,5.17026171539496,4.56784210526316,10000,1370,"NAmes","11","6","1",50,0,"1","0","1","0","2","0","0","0","Dwelling_80","RL","1Fam","SLvl",5,6,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",272,3,3,"CBlock",3,3,3,4,678,3,281,99,1058,"GasA",5,"SBrkr",1370,0,0,1,0,1,0,3,1,3,6,8,1,3,"Basment",1956,"RFn",1,300,3,3,3,191,0,0,0,120,0,0,"MnPrv","NoMisc",0,"WD ","Normal",FALSE,2,"Split",1,1,2,50,FALSE
"20",905101450,2006-02-01,154500,5.18892848376085,4.56784210526316,8414,1068,"Sawyer","8","6","1",43,40,"1","0","1","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",6,8,"Hip","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,1,6,663,1,0,396,1059,"GasA",3,"SBrkr",1068,0,0,0,1,1,0,3,1,3,6,8,0,0,"Attchd",1963,"RFn",1,264,3,3,3,192,0,0,0,0,0,0,"MnPrv","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0.5,1,1.5,3,TRUE
"21",527107020,2006-02-01,170000,5.23044892137827,4.56784210526316,13041,1671,"Gilbert","14","6","1",11,0,"1","2","1","0","1","0","0","0","Dwelling_60","RL","1Fam","2Story",6,5,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"PConc",4,3,1,1,0,1,0,781,781,"GasA",4,"SBrkr",781,890,0,0,0,2,1,3,1,3,7,8,1,3,"Attchd",1995,"Fin",2,423,3,3,3,0,84,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",0,2.5,2.5,11,FALSE
"22",528218060,2006-02-01,170440,5.23157152552842,4.56784210526316,10237,1456,"Gilbert","14","6","1",1,1,"1","0","1","0","1","0","1","0","Dwelling_60","RL","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,1,0,1,0,728,728,"GasA",5,"SBrkr",728,728,0,0,0,2,1,3,1,4,8,8,1,4,"Attchd",2005,"Fin",2,390,3,3,3,0,24,0,0,0,0,0,"NoFence","NoMisc",0,"New","Partial",FALSE,2,"Traditional",0,2.5,2.5,0,TRUE
"23",528290140,2006-02-01,173000,5.2380461031288,4.56784210526316,10852,1671,"Gilbert","14","6","1",6,0,"1","1","1","0","1","0","1","0","Dwelling_60","RL","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,1,6,786,1,0,173,959,"GasA",5,"SBrkr",959,712,0,1,0,2,1,3,1,3,7,8,1,3,"Attchd",2000,"Fin",2,472,3,3,3,0,38,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",1,2.5,3.5,6,FALSE
"24",527356060,2006-02-01,179900,5.25503116334555,4.56784210526316,11475,1552,"NWAmes","15","6","1",31,0,"1","0","1","0","1","0","1","0","Dwelling_60","RL","1Fam","2Story",6,6,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"CBlock",4,3,1,5,550,1,0,163,713,"GasA",3,"SBrkr",811,741,0,1,0,2,1,3,1,3,6,8,1,3,"Attchd",1975,"RFn",2,434,3,3,3,209,208,0,0,0,0,0,"MnPrv","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",1,2.5,3.5,31,FALSE
"25",907194130,2006-02-01,192500,5.28443073384452,4.56784210526316,14006,1776,"CollgCr","18","6","1",4,0,"1","1","1","0","1","0","0","0","Dwelling_60","RL","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",144,4,3,"PConc",4,3,0,1,0,1,0,936,936,"GasA",5,"SBrkr",936,840,0,0,0,2,1,3,1,4,7,8,1,3,"Attchd",2002,"RFn",2,474,3,3,3,144,96,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",0,2.5,2.5,4,FALSE
"26",909276070,2006-02-01,194000,5.28780172993023,4.56784210526316,12400,1717,"Crawfor","19","6","1",66,10,"1","0","3","1","1","0","0","0","Dwelling_50","RL","1Fam","1.5Fin",5,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",4,3,2,4,602,1,0,299,901,"GasA",3,"SBrkr",1125,592,0,0,0,1,1,2,1,3,7,8,1,4,"Attchd",1940,"Unf",1,410,3,3,3,0,0,0,0,113,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1.5,"Traditional",0,1.5,1.5,56,TRUE
"27",528480110,2006-02-01,200825,5.30281777563544,4.56784210526316,8125,1716,"Somerst","21","4","1",1,0,"1","0","1","0","1","0","0","0","Dwelling_60","FV","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,1,0,1,0,858,858,"GasA",5,"SBrkr",858,858,0,0,0,2,1,3,1,4,7,8,0,0,"Attchd",2005,"RFn",2,615,3,3,3,0,53,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",0,2.5,2.5,1,FALSE
"28",909280070,2006-02-01,218000,5.33845649360461,4.56784210526316,8170,1671,"Crawfor","19","6","1",77,21,"1","1","1","0","1","0","0","0","Dwelling_50","RL","1Fam","1.5Fin",7,7,"Gable","CompShg","Stucco","Wd Sdng","BrkFace",270,4,4,"BrkTil",3,3,1,5,526,1,0,496,1022,"GasA",5,"FuseA",1122,549,0,0,0,2,0,4,1,3,7,8,1,4,"Detchd",1963,"Unf",2,451,3,3,3,0,0,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1.5,"Traditional",0,2,2,56,TRUE
"29",906420020,2006-02-01,220000,5.34242268082221,4.56784210526316,10041,1915,"SawyerW","13","6","1",14,0,"1","1","1","0","1","0","0","0","Dwelling_60","RL","1Fam","2Story",8,5,"Gable","CompShg","HdBoard","HdBoard","None",0,4,3,"PConc",4,3,2,6,789,1,0,119,908,"GasA",5,"SBrkr",927,988,0,1,0,2,1,3,1,4,8,8,1,3,"Attchd",1992,"Fin",2,506,3,3,3,120,150,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Abnorml",FALSE,2,"Traditional",1,2.5,3.5,14,FALSE
"30",527302080,2006-02-01,229000,5.35983548233989,4.56784210526316,13837,2183,"NWAmes","15","6","1",18,0,"1","1","1","0","2","0","0","0","Dwelling_50","RL","1Fam","1.5Fin",7,5,"Gable","CompShg","HdBoard","HdBoard","BrkFace",178,4,4,"PConc",4,4,1,6,1002,2,202,0,1204,"GasA",4,"SBrkr",1377,806,0,0,0,2,1,4,1,4,9,8,0,0,"Attchd",1988,"Unf",3,786,3,3,3,0,0,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1.5,"Traditional",0,2.5,2.5,18,FALSE
"31",908178050,2006-02-01,229000,5.35983548233989,4.56784210526316,11060,2314,"Edwards","5","6","1",3,2,"1","1","1","0","2","0","0","0","Dwelling_60","RL","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,3,1,1,0,1,0,1150,1150,"GasA",5,"SBrkr",1164,1150,0,0,0,2,1,3,1,4,9,8,1,5,"BuiltIn",2003,"Fin",2,502,3,3,3,0,274,0,0,0,0,0,"NoFence","NoMisc",0,"ConLD","Normal",FALSE,2,"Traditional",0,2.5,2.5,1,TRUE
"32",528294070,2006-02-01,230000,5.36172783601759,4.56784210526316,8738,2291,"Gilbert","14","6","1",7,0,"1","1","1","0","1","0","0","0","Dwelling_60","RL","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",302,4,3,"PConc",4,3,1,1,0,1,0,975,975,"GasA",5,"SBrkr",1005,1286,0,0,0,2,1,4,1,4,8,8,1,3,"BuiltIn",1999,"Fin",2,429,3,3,3,192,0,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",0,2.5,2.5,7,FALSE
"33",907265030,2006-02-01,230000,5.36172783601759,4.56784210526316,8125,1654,"CollgCr","18","6","1",4,0,"1","0","1","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","Stone",295,4,3,"PConc",4,3,1,6,986,1,0,668,1654,"GasA",5,"SBrkr",1654,0,0,1,0,2,0,3,1,4,6,8,0,0,"Attchd",2002,"Unf",3,900,3,3,3,0,136,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",1,2,3,4,FALSE
"34",528172150,2006-02-01,279000,5.4456042032736,4.56784210526316,13215,1914,"NridgHt","26","6","1",2,0,"1","1","1","0","2","0","0","0","Dwelling_60","RL","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",112,4,3,"PConc",4,3,1,6,994,1,0,426,1420,"GasA",5,"SBrkr",1426,488,0,1,0,2,1,3,1,4,9,8,1,3,"BuiltIn",2004,"RFn",3,746,3,3,3,168,127,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",1,2.5,3.5,2,FALSE
"35",528315070,2006-02-01,286000,5.45636603312904,4.56784210526316,9660,1976,"NoRidge","27","6","1",8,0,"1","1","1","0","1","0","0","0","Dwelling_60","RL","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",242,4,3,"PConc",4,3,1,6,791,1,0,253,1044,"GasA",5,"SBrkr",1079,897,0,1,0,2,1,3,1,4,7,8,1,5,"Attchd",1998,"Fin",3,885,3,3,3,210,31,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",1,2.5,3.5,8,FALSE
"36",903430130,2006-03-01,52500,4.72015930340596,4.72230434782609,4118,693,"OldTown","4","5","0",65,9,"2","1","2","1","2","1","0","0","Dwelling_30","RM","1Fam","1Story",4,4,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,1,1,0,1,0,693,693,"Grav",2,"FuseA",693,0,0,0,0,1,0,2,1,2,4,8,0,0,"NoGarage",1941,"NoGarage",0,0,0,0,1,0,20,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0,1,1,56,TRUE
"37",910203230,2006-03-01,85000,4.92941892571429,4.72230434782609,7030,641,"IDOTRR","2","5","1",81,25,"1","0","1","0","1","0","0","0","Dwelling_30","RM","1Fam","1Story",4,6,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,641,641,"GasA",4,"SBrkr",641,0,0,0,0,1,0,2,1,2,4,8,0,0,"Detchd",1925,"Unf",1,272,3,3,1,184,0,70,0,0,0,0,"MnPrv","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0,1,1,56,TRUE
"38",535377100,2006-03-01,86900,4.93901977644867,4.72230434782609,7008,720,"OldTown","4","6","1",106,98,"1","0","1","0","2","0","0","0","Dwelling_50","RL","1Fam","1.5Fin",4,8,"Gable","CompShg","MetalSd","MetalSd","None",0,3,4,"BrkTil",2,2,1,1,0,1,0,448,448,"GasA",5,"SBrkr",448,272,0,0,0,1,0,1,1,2,5,8,0,0,"Attchd",1900,"Unf",1,280,2,3,3,0,0,70,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1.5,"Traditional",0,1,1,8,TRUE
"39",902134060,2006-03-01,96900,4.98632377705077,4.72230434782609,7614,1376,"OldTown","4","5","1",101,45,"2","0","1","1","1","0","0","0","Dwelling_70","RM","1Fam","2Story",3,5,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,2,2,1,0,1,0,738,738,"GasA",4,"FuseA",714,662,0,0,0,1,0,2,1,3,7,8,0,0,"Detchd",1930,"Unf",1,216,3,3,1,0,0,104,0,225,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2,"Traditional",0,1,1,56,TRUE
"40",527404180,2006-03-01,97500,4.98900461569854,4.72230434782609,7200,874,"NAmes","11","6","1",35,0,"1","0","1","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",4,4,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,1,3,20,2,620,224,864,"GasA",3,"SBrkr",874,0,0,0,1,1,0,3,1,3,5,8,0,0,"Detchd",1995,"Unf",2,576,3,3,3,63,0,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0.5,1,1.5,35,FALSE
"41",908228040,2006-03-01,104900,5.02077548819356,4.72230434782609,9738,1221,"Edwards","5","6","1",82,26,"1","0","1","0","1","0","0","0","Dwelling_50","RL","1Fam","1.5Fin",5,7,"Gable","CompShg","AsbShng","AsbShng","None",0,3,4,"BrkTil",3,3,1,4,392,1,0,392,784,"GasA",4,"SBrkr",949,272,0,1,0,1,0,4,1,3,7,8,0,0,"Attchd",1965,"Unf",1,392,3,3,3,0,0,236,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1.5,"Traditional",1,1,2,56,TRUE
"42",909101190,2006-03-01,118500,5.07371835034612,4.72230434782609,6204,2230,"SWISU","6","6","0",94,38,"1","0","2","0","1","0","0","0","Dwelling_75","RL","1Fam","2.5Fin",4,5,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,4,3,"PConc",3,2,1,1,0,1,0,795,795,"GasA",3,"SBrkr",954,795,481,1,0,1,0,5,1,3,10,8,0,0,"Detchd",1997,"Unf",1,440,3,4,3,0,188,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,2.5,"Traditional",1,1,2,56,TRUE
"43",907227090,2006-03-01,119900,5.07881918309885,4.72230434782609,7200,864,"CollgCr","18","6","1",34,0,"1","0","0","0","1","0","0","0","Dwelling_20","RL","1Fam","1Story",5,8,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"CBlock",3,3,1,4,437,1,0,427,864,"GasA",5,"SBrkr",864,0,0,0,0,1,0,3,1,3,5,8,0,0,"Detchd",1977,"Unf",1,297,3,3,3,0,0,0,0,0,0,0,"MnPrv","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",0,1,1,34,FALSE
"44",535478070,2006-03-01,120000,5.07918124604763,4.72230434782609,7400,1045,"NAmes","11","6","1",44,0,"1","0","1","0","2","1","0","0","Dwelling_20","RL","1Fam","1Story",7,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,1,2,809,1,0,236,1045,"GasA",4,"SBrkr",1045,0,0,1,0,1,0,3,1,3,6,8,0,0,"Detchd",1962,"Unf",2,528,3,3,3,0,0,0,0,0,0,0,"NoFence","NoMisc",0,"WD ","Normal",FALSE,1,"Traditional",1,1,2,44,FALSE
