PID,district
907200170,Sawyer
528290090,
528228440,
905476225,Edwards
907260040,Edwards
535376090,Meeker
526302040,Meeker
527451450,Meeker
535453150,Meeker
907412020,Edwards
907252220,Edwards
535354260,Meeker
910206010,Mitchell
903232030,Meeker
921201060,Mitchell
535353040,Meeker
534427040,Fellows
527368020,Fellows
905103110,Sawyer
528477080,Fellows
903230120,Meeker
906475050,Sawyer
528429070,Fellows
905426010,Edwards
528150080,
534450090,Fellows
534403440,Fellows
905201080,Sawyer
914476380,Mitchell
533223110,Fellows
534426040,Fellows
527358140,Fellows
528102030,
905107320,Sawyer
528228290,
527427210,Meeker
909100110,Edwards
528228415,
909281130,Edwards
907202240,Sawyer
903400040,Meeker
532351060,Sawyer
532377100,Sawyer
527325240,Fellows
528390210,Fellows
532354150,Sawyer
903452025,Mitchell
528456240,Fellows
534225120,Fellows
906382060,Sawyer
528166060,
533253180,Fellows
528315110,Fellows
535150280,Meeker
902305110,Meeker
907125040,Sawyer
910203020,Mitchell
528363020,Fellows
923202025,Mitchell
533236040,Fellows
535151110,Meeker
905377020,Edwards
903401020,Meeker
906230010,Sawyer
534479140,
909253180,Edwards
531379030,Sawyer
907227090,Sawyer
909282110,Edwards
528166120,
914467050,Mitchell
905427140,Edwards
527165010,
527359050,Fellows
535180030,Meeker
902427150,Meeker
905451300,Edwards
903233100,Meeker
902301030,Meeker
534275010,Fellows
908152070,Edwards
905104090,Sawyer
535375040,Meeker
907202220,Sawyer
907227050,Sawyer
535382020,Meeker
905403060,Edwards
531376090,Sawyer
535427070,Meeker
923228270,Mitchell
528228445,
907125020,Sawyer
533206060,Fellows
528275060,
534403290,Fellows
526351100,Meeker
534201300,Fellows
527105060,
904302020,Edwards
527107210,
534425080,Fellows
528354110,Fellows
907290250,Sawyer
528480150,Fellows
534427010,Fellows
905106140,Sawyer
914452120,Mitchell
907250050,Sawyer
909425140,Edwards
535301080,Meeker
534125120,Fellows
528186090,
533236070,Fellows
903228060,Meeker
916403200,Mitchell
905401020,Edwards
535382100,Meeker
905476170,Edwards
527364030,Fellows
526355190,Meeker
916226090,Edwards
533223020,Fellows
908275300,Edwards
527451170,Meeker
907425015,Sawyer
923276100,Mitchell
909276010,Edwards
528176070,
907412080,Edwards
923400110,Mitchell
923229100,Mitchell
903233180,Meeker
528231030,
909254070,Edwards
527455060,Fellows
534478140,
905108120,Sawyer
905377130,Edwards
905201090,Sawyer
905480210,Edwards
534278070,Fellows
527368010,Fellows
535180130,Meeker
533210060,Fellows
527359010,Fellows
533130130,Fellows
531371050,Sawyer
535354050,Meeker
902106010,Meeker
533213020,Fellows
528456220,Fellows
907227290,Sawyer
528186010,
905104240,Sawyer
906426090,Sawyer
902301120,Meeker
902101010,Meeker
527450030,Meeker
535175070,Meeker
528108070,
909281020,Edwards
533213140,Fellows
535302070,Meeker
905480030,Edwards
907200110,Sawyer
907275030,Edwards
907203110,Sawyer
527127100,
528431020,Fellows
535379060,Meeker
903205085,Meeker
531450120,Sawyer
902205130,Meeker
904100140,Sawyer
923229140,Mitchell
903456060,Mitchell
528431120,Fellows
905107220,Sawyer
903458170,Mitchell
534202030,Fellows
527127140,
535101150,Meeker
535402070,Meeker
902403070,Meeker
528477070,Fellows
908127100,Edwards
902301080,Meeker
903475100,Mitchell
903226150,Meeker
902207080,Meeker
535450210,Meeker
535153070,Meeker
905105170,Sawyer
907290080,Edwards
526354070,Meeker
903458060,Mitchell
532479050,Sawyer
527427090,Meeker
905109170,Sawyer
905479110,Edwards
907187040,Sawyer
905475160,Edwards
534250370,Fellows
905377010,Edwards
908208020,Edwards
531479020,Sawyer
909428280,Edwards
535454070,Meeker
535304020,Meeker
527131110,
534403280,Fellows
527107040,
907270040,Edwards
903455140,Mitchell
907180040,Sawyer
528106020,
528228285,
907262080,Edwards
923225260,Mitchell
535383060,Meeker
527453050,Fellows
527107030,
903236130,Meeker
534450180,Fellows
528275080,
909428340,Edwards
528441080,Fellows
527105130,
907175060,Sawyer
908228010,Edwards
905480180,Edwards
534201240,Fellows
528441020,Fellows
527164090,
909277070,
534400060,Fellows
907290210,Sawyer
906204150,Sawyer
531451150,Sawyer
528181080,
535106140,Meeker
533241010,Fellows
534276180,Fellows
527163010,
907194020,Sawyer
907187010,Sawyer
908151050,Edwards
528102140,
534125080,Fellows
528321010,Fellows
914475090,Mitchell
534451120,Fellows
902202090,Meeker
909131125,Edwards
909427230,Edwards
909475040,Edwards
533242030,Fellows
528120170,
902100010,Meeker
535179060,Meeker
534276070,Fellows
905452140,Edwards
528387030,Fellows
534277090,Fellows
534104100,Fellows
902207220,Meeker
902300215,Meeker
534176140,Fellows
902128160,Meeker
527451180,Meeker
905402070,Edwards
916382110,Mitchell
534176060,Fellows
527302110,Fellows
909425270,Edwards
527404050,Meeker
905480150,Edwards
903231090,Meeker
531375120,Sawyer
906201021,Sawyer
531371070,Sawyer
528390100,Fellows
906200230,Sawyer
907420040,Edwards
916402215,Mitchell
907200290,Sawyer
908225180,Edwards
906380050,Sawyer
535450190,Meeker
528315030,Fellows
535103070,Meeker
905202090,Sawyer
907192090,Edwards
527158090,
916326040,Mitchell
534403040,Fellows
528220040,
907201280,Sawyer
528235180,
528231050,
907425010,Edwards
905103180,Sawyer
528228450,
906380030,Sawyer
528445060,Fellows
909252110,Edwards
909179020,Edwards
909251050,Edwards
903231010,Meeker
528142090,
907200280,Sawyer
528477040,Fellows
903206070,Meeker
909428190,Edwards
528112040,
528142040,
902106060,Meeker
527375100,Fellows
527105070,
909277090,
527110130,
527375210,Fellows
533215030,Fellows
906378100,Sawyer
527325090,Fellows
526301100,Meeker
535178060,Meeker
903430090,Meeker
534402140,Fellows
908225240,Edwards
534451110,Fellows
914467040,Mitchell
527451110,Meeker
907262020,Edwards
527376110,Fellows
904301375,Edwards
527145090,
902427180,Meeker
903476030,Mitchell
534400030,Fellows
533213120,Fellows
528290010,
907420060,Edwards
907260010,Edwards
906201200,Sawyer
906382020,Sawyer
532376160,Sawyer
910202070,Mitchell
528150120,
902101050,Meeker
909250070,Edwards
535476240,Meeker
528228405,
905202230,Sawyer
527210060,
528228460,
528112020,
528290180,
907254050,Edwards
904100040,Sawyer
534126060,Fellows
535402010,Meeker
534403080,Fellows
532351140,Sawyer
903426010,Meeker
531367050,Sawyer
533213130,Fellows
907185060,Sawyer
905427010,Edwards
908102100,
527145080,
534250300,Fellows
905301050,Sawyer
534202180,Fellows
531450170,Sawyer
533212120,Fellows
902109120,Meeker
535450310,Meeker
903201030,Meeker
533236060,Fellows
908102130,Edwards
905105070,Sawyer
533241030,Fellows
923228260,Mitchell
534204030,Fellows
535477020,Meeker
907192130,Edwards
534151120,Fellows
908102170,Edwards
907401050,Edwards
902105060,Meeker
534431050,Fellows
528344060,Fellows
909452114,Edwards
534276190,Fellows
907253060,Edwards
902329090,Meeker
527453160,Fellows
903233080,Meeker
528292060,
909256120,Edwards
906223220,Sawyer
535153150,Meeker
527163080,
907414080,Edwards
527402090,Meeker
535426260,Meeker
528322020,Fellows
908152180,Edwards
909131170,Edwards
527146135,
907255010,Edwards
528142110,
533223030,Fellows
907131120,Sawyer
534201130,Fellows
528366050,Fellows
528340030,Fellows
903475020,
908152290,Edwards
527163100,
916477020,Mitchell
535456010,Meeker
534129080,Fellows
535101020,Meeker
528320060,Fellows
903234220,Meeker
911370520,Mitchell
528218020,
902325050,Meeker
905427070,Edwards
907252050,Edwards
907253130,Edwards
903429080,Meeker
527451060,Meeker
907418040,Edwards
911226030,Mitchell
535402230,Meeker
527427230,Meeker
903204030,
923225360,Mitchell
903202120,Meeker
527455050,Fellows
903231190,Meeker
528275110,
906202040,Sawyer
528382030,Fellows
907200190,Sawyer
531451110,Sawyer
906340130,Sawyer
923400025,Mitchell
528480130,Fellows
534277070,Fellows
907203060,Sawyer
528480160,Fellows
907135050,Sawyer
916403010,Mitchell
528482020,Fellows
905451320,Edwards
907135260,Sawyer
527455280,Fellows
527451400,Meeker
528290030,
535154080,Meeker
909276110,
914476010,Mitchell
535451210,Meeker
916402115,Mitchell
527375160,Fellows
527252080,
916380060,Mitchell
533125080,Fellows
908275180,Edwards
528348030,Fellows
907252190,Edwards
527190220,
534425015,Fellows
528172060,
527164120,
534477270,Fellows
527105050,
906394040,Sawyer
902206240,Meeker
909253010,Edwards
907290040,Edwards
535457020,Meeker
902204120,Meeker
535301170,Meeker
923228230,Mitchell
923202060,Mitchell
904302260,Edwards
909275250,Edwards
531452080,Sawyer
528138020,
905101330,Sawyer
916475110,Mitchell
534128020,Fellows
527358090,Fellows
909250120,Edwards
909254150,Edwards
905202190,Sawyer
527353060,Fellows
905478220,Edwards
902456015,Mitchell
916402015,Mitchell
905426100,Edwards
923228220,Mitchell
527182020,
528175060,
908102040,
903230110,Meeker
906223210,Sawyer
527377030,Fellows
905101260,Sawyer
903426180,Meeker
916475020,Mitchell
905200490,Sawyer
905401045,Edwards
902205090,Meeker
910205130,Mitchell
528280130,
534127130,Fellows
526353030,Meeker
903481100,Mitchell
535402120,Meeker
527302210,Fellows
532378130,Sawyer
902301130,Meeker
902103100,Meeker
535454100,Meeker
909250040,Edwards
902325070,Meeker
533125140,Fellows
924100060,Mitchell
533251120,Fellows
907414020,Edwards
535451110,Meeker
535302130,Meeker
905402110,Edwards
534175100,Fellows
527164060,
907270050,Edwards
528178010,
907200230,Sawyer
527162090,
527450460,Meeker
528106120,
528294070,
535455090,Meeker
535176070,Meeker
902405070,Meeker
535478090,Meeker
907202130,Sawyer
902100030,Meeker
902105050,Meeker
534252270,Fellows
532377050,Sawyer
534177210,Fellows
533221030,Fellows
909175030,Edwards
528164040,
527402240,Meeker
528181070,
535152130,Meeker
535353160,
907420080,Edwards
907410130,Edwards
534403410,Fellows
533205110,Fellows
907262050,Edwards
902405100,Meeker
534251280,Fellows
533205060,Fellows
907405130,Edwards
924100050,Mitchell
923225370,Mitchell
906203120,Sawyer
903400220,Meeker
911370530,Mitchell
528235120,
532477040,Sawyer
528228430,
527357110,Fellows
907202100,Sawyer
534127190,Fellows
535125070,Meeker
535401080,Meeker
534403400,Fellows
908188150,Edwards
527427160,Meeker
528326060,Fellows
531385130,Sawyer
906230030,Sawyer
906426210,Sawyer
527162110,
527276150,
907201230,Sawyer
905104110,Sawyer
914476330,Mitchell
907290160,Sawyer
907125080,Sawyer
908188110,Edwards
528172150,
535350040,Meeker
535302140,Meeker
528108010,
531375090,Sawyer
526353050,Meeker
909276170,Edwards
528228295,
907202050,Sawyer
905107240,Sawyer
535305180,Meeker
531453040,Sawyer
923277040,Mitchell
528435070,Fellows
527454120,Fellows
923228290,Mitchell
903451090,Mitchell
527354050,Fellows
526351010,Meeker
908128110,Edwards
905427050,Edwards
923230200,Mitchell
528228565,
906402070,Sawyer
528431070,Fellows
532378120,Sawyer
907290020,Edwards
905106210,Sawyer
534276290,Fellows
528458140,Fellows
910203290,Mitchell
534226060,Fellows
534178010,Fellows
907401060,Edwards
911225110,Mitchell
908250030,Edwards
909281010,Edwards
914475010,Mitchell
923225050,Mitchell
916455170,Mitchell
534451170,Fellows
909175080,Edwards
906225210,Sawyer
903234090,Meeker
907251090,Sawyer
905475500,Edwards
528458180,Fellows
909252170,Edwards
906425045,Sawyer
903228150,Meeker
534400050,Fellows
914452090,Mitchell
528326030,Fellows
905402090,Edwards
907227060,Sawyer
905102010,Sawyer
907255020,Edwards
528315090,Fellows
528482010,Fellows
535304170,Meeker
528174030,
535402330,Meeker
903226170,Meeker
911104060,Mitchell
906403060,Sawyer
908102320,Edwards
535454050,Meeker
909276210,Edwards
528250030,
531375130,Sawyer
907201060,Sawyer
527208010,
902402150,Meeker
528174010,
903233120,Meeker
528490080,Fellows
527357180,Fellows
532354090,Sawyer
527354200,Fellows
903233050,Meeker
535378020,Meeker
528250070,
535353240,
528240060,
903228040,Meeker
533252130,Fellows
535325290,Meeker
907401090,Edwards
908225290,Edwards
905200290,Sawyer
535179120,Meeker
905103030,Sawyer
907262060,Edwards
909254090,Edwards
909175100,Edwards
923276250,Mitchell
527401130,
534201040,Fellows
908127120,Edwards
905105260,Sawyer
904351200,Edwards
902207110,Meeker
902100110,Meeker
902105010,Meeker
909426060,Edwards
534401140,Fellows
527377110,Fellows
908102290,Edwards
907252120,Edwards
535451170,Meeker
903425245,Meeker
902107050,Meeker
531477020,Sawyer
905104180,Sawyer
909177120,Edwards
528228375,
906475170,Sawyer
534451150,Fellows
535375010,Meeker
528354050,Fellows
534455080,Fellows
903201090,Meeker
910226060,Mitchell
916125425,Mitchell
534128210,Fellows
528328100,Fellows
903429010,Meeker
531384030,Sawyer
528110020,
532351050,Sawyer
527328010,
902201090,Meeker
534127270,Fellows
531379050,Sawyer
907135080,Sawyer
908152280,Edwards
905106150,Sawyer
527454050,Fellows
923276260,Mitchell
533223010,Fellows
534475170,Fellows
533212020,Fellows
535180020,Meeker
527403120,Meeker
