,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,DateSold,IsPUD,IsNearNegativeCondition,IsNearPositiveCondition,NumFloors,Collapse_MSSubClass,Combine_BathroomsBsmt,Combine_BathroomsAbvGrd,AllBathrooms,Combine_Age,IsRenovated,LogSalePrice,latitude,longitude,district
10,528186170,1342,219500,Dwelling_120,RL,48.0,6240,2,0,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,4,3,PConc,4,3,1,6,24.0,1,0.0,1318.0,1342.0,GasA,5,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,4,6,8,1,4,Attchd,2007.0,RFn,2.0,550.0,3,3,3,0,35,0,0,0,0,0,NoFence,NoMisc,0,February,Yr_2008,WD ,Normal,2008-02-01,True,False,False,1.0,Traditional,0.0,2.0,2.0,1,True,12.299107511497363,,,
11,923426070,1274,136000,Dwelling_60,RL,63.0,10475,2,0,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,3,458.0,1,0.0,166.0,624.0,GasA,4,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,1,3,6,8,0,0,Detchd,1993.0,Unf,2.0,576.0,3,3,3,22,0,0,0,0,0,0,GdWo,NoMisc,0,March,Yr_2010,WD ,Normal,2010-03-01,False,False,False,2.0,Traditional,0.0,1.5,1.5,19,False,11.82041016471819,41.98649987838884,-93.60213991860324,Mitchell
12,902204080,861,80000,Dwelling_30,RM,62.0,7404,2,0,4,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,861.0,861.0,GasA,3,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,1,3,5,8,0,0,Detchd,1920.0,Unf,2.0,288.0,3,3,1,0,0,128,0,0,0,0,NoFence,NoMisc,0,November,Yr_2009,Oth,Normal,2009-11-01,False,False,False,1.0,Traditional,0.0,1.0,1.0,59,True,11.289781913656018,42.03216732653061,-93.6087965510204,Meeker
13,535105100,1394,159000,Dwelling_20,RL,74.0,9500,2,0,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,3,CBlock,4,3,1,4,609.0,1,0.0,785.0,1394.0,GasA,4,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,3,6,8,2,4,Attchd,1963.0,RFn,2.0,514.0,3,3,3,0,76,0,0,185,0,0,NoFence,NoMisc,0,July,Yr_2009,WD ,Normal,2009-07-01,False,False,False,1.0,Traditional,1.0,1.5,2.5,46,False,11.976659481202368,42.04690161396658,-93.61572103026556,Meeker
14,907405020,1536,214000,Dwelling_20,RL,70.0,9135,2,0,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,4,3,PConc,4,3,3,6,810.0,1,0.0,726.0,1536.0,GasA,5,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2002.0,RFn,2.0,532.0,3,3,3,192,74,0,0,0,0,0,NoFence,NoMisc,0,December,Yr_2008,WD ,Normal,2008-12-01,False,False,False,1.0,Traditional,1.0,2.0,3.0,5,True,12.273731294003989,42.01590809090909,-93.6876522121212,Edwards
15,531382110,1680,163000,Dwelling_60,RL,50.0,8480,2,0,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4,3,1,6,602.0,1,0.0,284.0,886.0,GasA,5,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,1,4,7,8,0,0,Attchd,1993.0,RFn,2.0,474.0,3,3,3,144,96,0,0,0,0,0,NoFence,NoMisc,0,October,Yr_2008,WD ,Normal,2008-10-01,False,False,False,2.0,Traditional,0.5,2.5,3.0,14,True,12.0015054797889,42.03586941394644,-93.68920687419867,Sawyer
16,906380120,1274,203000,Dwelling_20,RL,68.0,8814,2,0,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,4,3,PConc,4,3,1,6,925.0,1,0.0,349.0,1274.0,GasA,5,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,4,6,8,0,0,Attchd,2005.0,RFn,2.0,508.0,3,3,3,264,98,0,0,0,0,0,NoFence,NoMisc,0,January,Yr_2007,New,Partial,2007-01-01,False,False,False,1.0,Traditional,1.0,2.0,3.0,0,True,12.220961258023925,42.02481975297594,-93.68911130789051,Sawyer
17,909101060,864,67000,Dwelling_30,RL,45.0,8248,2,1,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,1,4,41.0,1,0.0,823.0,864.0,GasA,3,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,3,5,8,0,0,NoGarage,1914.0,NoGarage,0.0,0.0,0,0,1,0,0,100,0,0,0,0,NoFence,NoMisc,0,September,Yr_2008,WD ,Normal,2008-09-01,False,False,False,1.0,Traditional,1.0,1.0,2.0,58,True,11.112447898373103,42.02208247765018,-93.65692684113984,Edwards
18,534152050,1610,205000,Dwelling_20,RL,74.0,10603,2,0,3,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,3,3,PConc,3,3,2,5,1200.0,1,0.0,410.0,1610.0,GasA,4,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,4,6,8,2,3,Attchd,1977.0,RFn,2.0,480.0,3,3,3,168,68,0,0,0,0,0,NoFence,NoMisc,0,February,Yr_2010,WD ,Normal,2010-02-01,False,False,False,1.0,Traditional,1.0,2.0,3.0,9,True,12.230765258120545,42.04331646337044,-93.63727919577092,Fellows
19,923252075,1091,131250,Dwelling_80,RL,62.0,7706,2,0,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,3,3,3,114.0,6,270.0,0.0,384.0,GasA,5,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,3,5,8,0,0,Attchd,1993.0,Fin,1.0,429.0,3,3,3,280,0,0,0,0,0,0,NoFence,Shed,700,August,Yr_2009,WD ,Normal,2009-08-01,False,False,False,2.0,Split,0.5,1.0,1.5,13,True,11.78485918045387,41.98752773737374,-93.6061805959596,Mitchell
20,531376060,1486,181000,Dwelling_20,RL,65.0,7441,2,0,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1461.0,1461.0,GasA,5,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2006.0,RFn,2.0,566.0,3,3,3,0,32,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2007,WD ,Normal,2007-06-01,False,False,False,1.0,Traditional,0.0,2.0,2.0,1,False,12.106252310247962,42.03755692029672,-93.691149759933,Sawyer
21,902201120,789,115000,Dwelling_20,RM,50.0,6000,2,0,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,5,104.0,4,169.0,516.0,789.0,GasA,5,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,1,3,5,8,0,0,Detchd,1948.0,Unf,1.0,250.0,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,April,Yr_2008,WD ,Partial,2008-04-01,False,False,False,1.0,Traditional,0.0,1.0,1.0,58,True,11.652687407345386,42.03351832653061,-93.6088355510204,Meeker
22,923228080,1092,98000,Dwelling_160,RM,21.0,1477,2,0,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,1,6,358.0,1,0.0,188.0,546.0,GasA,5,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,1,3,6,8,0,0,NoGarage,1970.0,NoGarage,0.0,0.0,0,0,3,187,0,0,0,0,0,0,NoFence,NoMisc,0,March,Yr_2008,WD ,Normal,2008-03-01,True,False,False,2.0,Traditional,0.0,2.5,2.5,1,True,11.49272275765271,41.99215551070729,-93.6030863886634,Mitchell
23,902326030,2640,265979,Dwelling_70,RM,65.0,11700,2,2,3,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,4,3,Stone,3,2,1,1,0.0,1,0.0,1240.0,1240.0,GasW,3,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,4,8,8,1,4,Detchd,1950.0,Unf,4.0,864.0,3,3,1,181,0,386,0,0,0,0,NoFence,NoMisc,0,May,Yr_2009,WD ,Normal,2009-05-01,False,False,False,2.0,Traditional,0.0,1.5,1.5,6,True,12.491172637278908,42.02935814285714,-93.61228857142856,Meeker
24,527451330,1092,105500,Dwelling_160,RM,21.0,1680,2,0,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,1,3,300.0,1,0.0,225.0,525.0,GasA,3,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,3,6,8,0,0,Detchd,1997.0,Unf,1.0,320.0,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,March,Yr_2010,WD ,Normal,2010-03-01,True,False,False,2.0,Traditional,0.0,1.5,1.5,39,False,11.566466231898257,42.051676299375686,-93.62760442259348,Meeker
25,528218100,1458,168165,Dwelling_60,RL,58.0,13204,2,0,3,Lvl,4,Inside,3,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,3,3,PConc,4,3,1,1,0.0,1,0.0,608.0,608.0,GasA,5,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,1,4,6,8,0,0,BuiltIn,2007.0,Fin,2.0,454.0,3,3,3,100,33,0,0,0,0,0,NoFence,NoMisc,0,May,Yr_2007,New,Partial,2007-05-01,False,True,False,2.0,Traditional,0.0,2.0,2.0,0,True,12.032700919255804,42.06183478929063,-93.64514075104287,
26,916386140,1466,201000,Dwelling_20,RL,73.0,8925,2,0,3,HLS,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,16.0,1,0.0,1450.0,1466.0,GasA,5,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2007.0,Fin,3.0,610.0,3,3,3,100,18,0,0,0,0,0,NoFence,NoMisc,0,July,Yr_2009,WD ,Normal,2009-07-01,False,False,False,1.0,Traditional,0.0,2.0,2.0,2,False,12.211060187041213,41.994931209457846,-93.650374,Mitchell
27,533221090,1573,177500,Dwelling_160,FV,66.0,2117,2,0,4,Lvl,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,4,3,PConc,4,3,1,6,378.0,1,0.0,378.0,756.0,GasA,5,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,4,5,8,0,0,Detchd,2000.0,Unf,2.0,440.0,3,3,3,0,32,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2010,WD ,Normal,2010-06-01,True,False,False,2.0,Traditional,0.0,2.5,2.5,10,False,12.086725887897607,42.046175343583606,-93.64673497939646,Fellows
28,534128010,2090,200000,Dwelling_60,RL,74.0,10382,2,0,3,Lvl,4,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,5,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,3,7,8,2,3,Attchd,1973.0,RFn,2.0,484.0,3,3,3,235,204,228,0,0,0,0,NoFence,Shed,350,November,Yr_2009,WD ,Normal,2009-11-01,False,False,True,2.0,Traditional,1.0,2.5,3.5,36,False,12.206072645530172,42.04903420384354,-93.63264578650906,Fellows
29,528106110,2046,450000,Dwelling_20,RL,105.0,15431,2,0,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,5,3,PConc,5,3,4,6,1430.0,1,0.0,564.0,1994.0,GasA,5,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,5,7,8,2,4,Attchd,2005.0,Fin,3.0,878.0,3,3,3,188,65,0,0,175,0,0,NoFence,NoMisc,0,August,Yr_2007,WD ,Normal,2007-08-01,False,False,False,1.0,Traditional,1.0,2.5,3.5,1,True,13.017002861746503,42.06135122133348,-93.6568043437672,
30,902206260,886,91300,Dwelling_30,RM,50.0,5784,2,0,4,Lvl,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,190.0,190.0,GasA,4,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,3,4,8,0,0,Attchd,1938.0,Unf,1.0,273.0,3,3,3,144,20,80,0,0,0,0,NoFence,NoMisc,0,December,Yr_2009,WD ,Normal,2009-12-01,False,True,False,1.0,Traditional,0.0,1.0,1.0,13,True,11.42190606658306,42.03109366137248,-93.61045453926472,Meeker
31,528222090,1258,173500,Dwelling_20,RL,64.0,7697,2,0,4,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1246.0,1246.0,GasA,5,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,4,6,8,0,0,Attchd,2007.0,RFn,2.0,462.0,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,August,Yr_2007,New,Partial,2007-08-01,False,False,False,1.0,Traditional,0.0,2.0,2.0,0,False,12.063932878369052,42.06322648533865,-93.64433362330249,
32,528218150,1324,199500,Dwelling_20,RL,100.0,18494,2,0,3,Lvl,4,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1324.0,1324.0,GasA,5,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,4,6,8,0,0,Attchd,2005.0,Fin,2.0,430.0,3,3,3,36,23,0,0,0,0,0,NoFence,NoMisc,0,January,Yr_2010,WD ,Normal,2010-01-01,False,False,False,1.0,Traditional,0.0,2.0,2.0,5,False,12.203569515312054,42.06273418076429,-93.64609380939284,
33,903400180,1848,207000,Dwelling_50,RL,64.0,13053,2,2,4,Bnk,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,833.0,833.0,GasA,4,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,4,8,8,1,4,Detchd,1922.0,Unf,2.0,370.0,3,3,1,0,0,0,0,220,0,0,NoFence,NoMisc,0,June,Yr_2008,WD ,Normal,2008-06-01,False,False,False,1.5,Traditional,0.0,1.5,1.5,8,True,12.240474072247506,42.02954372815348,-93.62737676136398,Meeker
34,535453210,1269,155000,Dwelling_20,RL,70.0,7931,2,0,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,374.0,2,532.0,363.0,1269.0,GasA,3,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,1,3,6,8,1,2,Detchd,1964.0,Unf,1.0,308.0,3,3,3,0,0,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2008,WD ,Normal,2008-06-01,False,False,False,1.0,Traditional,0.0,1.5,1.5,48,False,11.951180395901384,42.037273779743664,-93.60675880919582,Meeker
35,916386010,1346,220000,Dwelling_20,RL,88.0,11896,2,0,3,Lvl,4,Corner,3,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,4,3,PConc,4,3,1,6,78.0,1,0.0,1258.0,1336.0,GasA,5,Y,SBrkr,1346,0,0,1.0,0.0,2,0,3,1,4,6,8,1,3,Attchd,2008.0,Fin,3.0,660.0,3,3,3,100,48,0,0,0,0,0,NoFence,NoMisc,0,May,Yr_2010,WD ,Normal,2010-05-01,False,False,False,1.0,Traditional,1.0,2.0,3.0,2,False,12.301382825334498,41.99523381632653,-93.64923497959184,Mitchell
36,907181090,1749,196000,Dwelling_60,RL,68.0,9272,2,0,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,500.0,1,0.0,342.0,842.0,GasA,5,Y,SBrkr,856,893,0,0.0,0.0,2,1,3,1,4,7,8,0,0,Attchd,1999.0,RFn,2.0,515.0,3,3,3,140,85,0,0,0,0,0,NoFence,NoMisc,0,June,Yr_2006,WD ,Normal,2006-06-01,False,False,False,2.0,Traditional,0.0,2.5,2.5,7,False,12.185869938212655,42.01738835191348,-93.69047624779364,Sawyer
37,902206020,492,61500,Dwelling_30,RM,52.0,7830,2,0,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,2,3,1,2,416.0,1,0.0,76.0,492.0,GasA,3,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,1,3,3,8,0,0,Detchd,1921.0,Unf,1.0,200.0,2,3,1,0,0,78,0,0,0,0,NoFence,NoMisc,0,June,Yr_2006,WD ,Normal,2006-06-01,False,False,False,1.0,Traditional,1.0,1.0,2.0,56,True,11.02679245379461,42.03195016326531,-93.61018020408164,Meeker
