,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MapRefNo,Prop_Addr,Prop_Addr_Full,geolocation,latitude,longitude
22,902201120,789,115000,20,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD ,Partial,902201120,1216 CARROLL AVE,"1216 CARROLL AVE, Ames, USA","1216, Carroll Avenue, Sunrise, Ames, Story County, Iowa, 50010, United States",42.03351832653061,-93.6088355510204
23,923228080,1092,98000,160,RM,21.0,1477,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,1,TA,6,Typ,0,,,,,0.0,0.0,,,Y,187,0,0,0,0,0,,,,0,3,2008,WD ,Normal,923228080,626 MEADOW PL,"626 MEADOW PL, Ames, USA","626, Meadow Place, Ames, Story County, Iowa, 50010, United States",41.99215551070729,-93.60308638866339
24,902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181,0,386,0,0,0,,,,0,5,2009,WD ,Normal,902326030,829 DOUGLAS AVE,"829 DOUGLAS AVE, Ames, USA","829, Douglas Avenue, Historic Old Town, Ames, Story County, Iowa, 50010, United States",42.02935814285714,-93.61228857142856
25,527451330,1092,105500,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2010,WD ,Normal,527451330,1342 BARKLEY CT,"1342 BARKLEY CT, Ames, USA","1342, Barkley Court, Briardale Square, Ames, Story County, Iowa, 50010, United States",42.051676299375686,-93.62760442259349
26,528218100,1458,168165,60,RL,58.0,13204,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA,Y,100,33,0,0,0,0,,,,0,5,2007,New,Partial,528218100,4205 CRESTMOOR AVE,"4205 CRESTMOOR AVE, Ames, USA","4205, Crestmoor Avenue, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States",42.06183478929063,-93.64514075104287
27,916386140,1466,201000,20,RL,73.0,8925,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,0,,,,0,7,2009,WD ,Normal,916386140,3028 COTTONTAIL LN,"3028 COTTONTAIL LN, Ames, USA","3028, Cottontail Lane, Ringgenberg Park, Ames, Story County, Iowa, 50014, United States",41.994931209457846,-93.650374
28,533221090,1573,177500,160,FV,,2117,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,Gd,5,Typ,0,,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,,,,0,6,2010,WD ,Normal,533221090,2711 HAMPTON ST,"2711 HAMPTON ST, Ames, USA","2711, Hampton Street, Somerset, Ames, Story County, Iowa, 50010, United States",42.046175343583606,-93.64673497939646
29,534128010,2090,200000,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD ,Normal,534128010,1636 JOHNSON ST,"1636 JOHNSON ST, Ames, USA","1636, Johnson Street, Parkview Heights;, Ames, Story County, Iowa, 50010, United States",42.04903420384354,-93.63264578650906
30,528106110,2046,450000,20,RL,105.0,15431,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,0,175,0,,,,0,8,2007,WD ,Normal,528106110,3331 WESTON DR,"3331 WESTON DR, Ames, USA","3331, Weston Drive, Northridge Heights, Ames, Story County, Iowa, 50010, United States",42.06135122133348,-93.6568043437672
31,902206260,886,91300,30,RM,50.0,5784,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,20,80,0,0,0,,,,0,12,2009,WD ,Normal,902206260,926 DUFF AVE,"926 DUFF AVE, Ames, USA","926, Duff Avenue, Ames, Story County, Iowa, 50010, United States",42.03109366137248,-93.61045453926471
32,528222090,1258,173500,20,RL,64.0,7697,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2007.0,RFn,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2007,New,Partial,528222090,4302 WELBECK DR,"4302 WELBECK DR, Ames, USA","4302, Welbeck Drive, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States",42.06322648533865,-93.64433362330249
33,528218150,1324,199500,20,RL,100.0,18494,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,0,,,,0,1,2010,WD ,Normal,528218150,4103 CRESTMOOR AVE,"4103 CRESTMOOR AVE, Ames, USA","4103, Crestmoor Avenue, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States",42.06273418076429,-93.64609380939285
34,903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,0,0,0,220,0,,,,0,6,2008,WD ,Normal,903400180,816 BROOKRIDGE AVE,"816 BROOKRIDGE AVE, Ames, USA","816, Brookridge Avenue, Ridgewood, Ames, Story County, Iowa, 50010, United States",42.02954372815348,-93.62737676136398
